Wavelength (nm),Spectral irradiance (W m-2 nm-1),Cumulative photon flux (cm-2 s-1)
360,0.9296,4.20914E+14
365,1.151,1.47771E+15
370,1.194,2.58901E+15
375,1.0513,3.58072E+15
380,1.18905,4.71732E+15
385,0.93465,5.6225E+15
390,1.1742,6.77445E+15
395,0.93835,7.70681E+15
400,1.6238,9.34068E+15
405,1.7075,1.10802E+16
410,1.71425,1.28482E+16
415,1.762,1.46877E+16
420,1.7265,1.65117E+16
425,1.70775,1.83375E+16
430,1.4565,1.99129E+16
435,1.74325,2.18205E+16
440,1.76875,2.37781E+16
445,1.91175,2.59182E+16
450,2.0495,2.82381E+16
455,2.01275,3.05418E+16
460,2.03725,3.28992E+16
465,2.008,3.5248E+16
470,1.998,3.76102E+16
475,2.0275,4.00328E+16
480,2.06175,4.25222E+16
485,1.8825,4.48189E+16
490,1.91925,4.71846E+16
495,1.9735,4.96419E+16
500,1.89975,5.20313E+16
505,1.93625,5.4491E+16
510,1.9365,5.69754E+16
515,1.8085,5.93182E+16
520,1.8135,6.16904E+16
525,1.845,6.4127E+16
530,1.92875,6.66984E+16
535,1.8695,6.92144E+16
540,1.83475,7.17067E+16
545,1.87575,7.42782E+16
550,1.86575,7.68595E+16
555,1.8585,7.94542E+16
560,1.81875,8.20162E+16
565,1.834,8.46228E+16
570,1.8305,8.72475E+16
575,1.85025,8.99237E+16
580,1.82775,9.25904E+16
585,1.83525,9.52911E+16
590,1.7525,9.7892E+16
595,1.793,1.00576E+17
600,1.75375,1.03223E+17
605,1.763,1.05906E+17
610,1.7295,1.0856E+17
615,1.67825,1.11156E+17
620,1.7025,1.13811E+17
625,1.664,1.16427E+17
630,1.662,1.19061E+17
635,1.64425,1.21687E+17
640,1.63025,1.24312E+17
645,1.61325,1.2693E+17
650,1.5765,1.29507E+17
655,1.48375,1.31952E+17
660,1.55175,1.34528E+17
665,1.556,1.37131E+17
670,1.5325,1.39714E+17
675,1.51,1.42278E+17
680,1.4935,1.44833E+17
685,1.4645,1.47356E+17
690,1.472,1.49911E+17
695,1.44725,1.52441E+17
700,1.41675,1.54936E+17
705,1.41375,1.57443E+17
710,1.39375,1.59932E+17
715,1.368,1.62393E+17
720,1.344,1.64827E+17
725,1.34825,1.67286E+17
730,1.3195,1.69709E+17
735,1.32025,1.7215E+17
740,1.275,1.74523E+17
745,1.291,1.76943E+17
750,1.27425,1.79347E+17
755,1.27025,1.81759E+17
760,1.25575,1.8416E+17
765,1.2345,1.86536E+17
770,1.2135,1.88886E+17
775,1.208,1.91241E+17
780,1.19775,1.93591E+17
785,1.188,1.95937E+17
790,1.168,1.98258E+17
795,1.14,2.00538E+17
800,1.13775,2.02828E+17
805,1.1205,2.05097E+17
810,1.112,2.07362E+17
815,1.1135,2.09645E+17
820,1.075,2.11863E+17
825,1.07525,2.14094E+17
830,1.0615,2.15202E+17
